,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1314,"frozenset({""18-25, United States, Bachelor's, Medium, Not Certified"", 'CS50x'})",frozenset({'6.00x'}),0.0021261034476893507,0.4380283367067508,0.0012756620686136106,0.6000000000000001,1.3697743952160917,1.0,0.0003443685117557559,1.4049291582331234,0.2705279425467604,0.002906638762934543,0.28822033898305105,0.3014561410321128
3470,"frozenset({'6.002x', '18-25, United States, Secondary, Low, Not Certified', '3.091x'})",frozenset({'6.00x'}),0.0023982446889935878,0.4380283367067508,0.0014287415168472437,0.5957446808510638,1.360059683193282,1.0,0.00037824238471158354,1.3901404302517217,0.26537458228193406,0.0032545524990313835,0.280648214929679,0.2995032183814982
124,"frozenset({'18-25, India, Secondary, High, Not Certified'})",frozenset({'6.002x'}),0.0023982446889935878,0.2925008079193101,0.0014287415168472437,0.5957446808510638,2.0367283259450253,1.0,0.0007272530077284246,1.7501295804101276,0.5102401817986965,0.004868436304625015,0.42861373740928443,0.30031462687084215
1935,"frozenset({'<18, United States, Secondary, Low, Not Certified', '6.002x'})",frozenset({'6.00x'}),0.0023132005510860137,0.4380283367067508,0.0013777150341026992,0.5955882352941176,1.3597025246630319,1.0,0.00036446764424135345,1.3896026583251253,0.2651583794215251,0.0031385616862988222,0.28036982801595217,0.2993667499617406
1195,"frozenset({""18-25, Other South Asia, Bachelor's, Low, Not Certified"", '6.002x'})",frozenset({'6.00x'}),0.0018879798615481435,0.4380283367067508,0.0011225826203799772,0.5945945945945946,1.35743408534928,1.0,0.00029559394189020225,1.3861967694566815,0.26381405479766135,0.0025583378556477245,0.2786016949152543,0.29857870140555653
2054,"frozenset({'<18, India, Secondary, Low, Not Certified', 'CS50x'})",frozenset({'6.00x'}),0.006055142619019271,0.4380283367067508,0.003588862619699624,0.5926966292134831,1.3531011113791913,1.0,0.000936538569768454,1.3797373250510117,0.26254668717240515,0.008147347285504673,0.27522436202628064,0.3004449247104188
1544,"frozenset({'CS50x', ""26-35, Other Europe, Bachelor's, Low, Not Certified""})",frozenset({'6.00x'}),0.001751909240896025,0.4380283367067508,0.0010375384824724031,0.5922330097087378,1.3520426878346532,1.0,0.0002701525916215309,1.3781686028382063,0.2608353421282706,0.002364799379724753,0.27439937469145953,0.29730083289382064
272,"frozenset({'18-25, Poland, Secondary, Low, Not Certified'})",frozenset({'6.00x'}),0.002993553654346606,0.4380283367067508,0.0017689180684775398,0.5909090909090909,1.3490202377128173,1.0,0.0004576567404216804,1.3737085102723872,0.2594980978214511,0.0040271055179090035,0.272043528505393,0.2974737276857418
1156,"frozenset({'CS50x', '18-25, Other Europe, Secondary, Low, Not Certified'})",frozenset({'6.00x'}),0.004643409929753542,0.4380283367067508,0.0027384212406238837,0.5897435897435898,1.3463594482893206,1.0,0.000704476112446329,1.369805929277295,0.2584564177241523,0.0062246278755074425,0.26996957844415476,0.29799764428739695
415,"frozenset({""26-35, Other East Asia, Bachelor's, Low, Not Certified""})",frozenset({'ER22x'}),0.003605871447281139,0.2261833891789839,0.0021261034476893507,0.589622641509434,2.606834408351944,1.0,0.001310515222799575,1.885622086138568,0.6186236493060889,0.009338812103100485,0.469671039944261,0.2995112756351501
1890,"frozenset({""36-50, United States, Bachelor's, Low, Not Certified"", '6.002x'})",frozenset({'6.00x'}),0.002483288826901162,0.4380283367067508,0.0014627591720102733,0.5890410958904109,1.3447556848011855,1.0,0.00037500829760029903,1.3674643806802396,0.2570087250443231,0.0033316545926471157,0.2687195263524494,0.2961902563286947
